,Active Learning Iteration,Metric,Value,Run,Set,Model,Label
177,44,Precision,0.750733137829912,0,test,Generative,AL
178,44,Recall,0.7876923076923077,0,test,Generative,AL
179,44,Accuracy,0.7698056801195815,0,test,Generative,AL
180,45,MCC,0.5404832718557875,0,test,Generative,AL
181,45,Precision,0.750733137829912,0,test,Generative,AL
182,45,Recall,0.7876923076923077,0,test,Generative,AL
183,45,Accuracy,0.7698056801195815,0,test,Generative,AL
184,46,MCC,0.5404832718557875,0,test,Generative,AL
185,46,Precision,0.750733137829912,0,test,Generative,AL
186,46,Recall,0.7876923076923077,0,test,Generative,AL
187,46,Accuracy,0.7698056801195815,0,test,Generative,AL
188,47,MCC,0.5404832718557875,0,test,Generative,AL
189,47,Precision,0.750733137829912,0,test,Generative,AL
190,47,Recall,0.7876923076923077,0,test,Generative,AL
191,47,Accuracy,0.7698056801195815,0,test,Generative,AL
192,48,MCC,0.5404832718557875,0,test,Generative,AL
193,48,Precision,0.750733137829912,0,test,Generative,AL
194,48,Recall,0.7876923076923077,0,test,Generative,AL
195,48,Accuracy,0.7698056801195815,0,test,Generative,AL
196,49,MCC,0.5404832718557875,0,test,Generative,AL
197,49,Precision,0.750733137829912,0,test,Generative,AL
198,49,Recall,0.7876923076923077,0,test,Generative,AL
199,49,Accuracy,0.7698056801195815,0,test,Generative,AL
200,50,MCC,0.5404832718557875,0,test,Generative,AL
201,50,Precision,0.750733137829912,0,test,Generative,AL
202,50,Recall,0.7876923076923077,0,test,Generative,AL
203,50,Accuracy,0.7698056801195815,0,test,Generative,AL
0,0,MCC,0.16644800005795404,0,train,Discriminative,AL
1,0,Precision,0.8673469387755102,0,train,Discriminative,AL
2,0,Recall,0.08468947193623381,0,train,Discriminative,AL
3,0,Accuracy,0.5358684822318167,0,train,Discriminative,AL
4,5,MCC,0.4745332335832291,0,train,Discriminative,AL
5,5,Precision,0.751188589540412,0,train,Discriminative,AL
6,5,Recall,0.7084025240783792,0,train,Discriminative,AL
7,5,Accuracy,0.7368814347392892,0,train,Discriminative,AL
8,10,MCC,0.20056556387547095,0,train,Discriminative,AL
9,10,Precision,0.8582857142857143,0,train,Discriminative,AL
10,10,Recall,0.12470939887080704,0,train,Discriminative,AL
11,10,Accuracy,0.5520591165725672,0,train,Discriminative,AL
12,15,MCC,0.36101562119113756,0,train,Discriminative,AL
13,15,Precision,0.7935835351089588,0,train,Discriminative,AL
14,15,Recall,0.43540352042510794,0,train,Discriminative,AL
15,15,Accuracy,0.6610760544669545,0,train,Discriminative,AL
16,20,MCC,0.5153398941567638,0,train,Discriminative,AL
17,20,Precision,0.662032209477465,0,train,Discriminative,AL
18,20,Recall,0.9488542012620392,0,train,Discriminative,AL
19,20,Accuracy,0.7322318166722019,0,train,Discriminative,AL
20,25,MCC,0.2376643754106138,0,train,Discriminative,AL
