Active Learning Iteration,Metric,Value,Run,Set,Model
27,MCC,0.5183822879152591,2,train,Generative
27,Precision,0.7857142857142857,2,train,Generative
27,Recall,0.4476744186046512,2,train,Generative
27,Accuracy,0.853904282115869,2,train,Generative
28,MCC,0.5183822879152591,2,train,Generative
28,Precision,0.7857142857142857,2,train,Generative
28,Recall,0.4476744186046512,2,train,Generative
28,Accuracy,0.853904282115869,2,train,Generative
29,MCC,0.5183822879152591,2,train,Generative
29,Precision,0.7857142857142857,2,train,Generative
29,Recall,0.4476744186046512,2,train,Generative
29,Accuracy,0.853904282115869,2,train,Generative
30,MCC,0.5183822879152591,2,train,Generative
30,Precision,0.7857142857142857,2,train,Generative
30,Recall,0.4476744186046512,2,train,Generative
30,Accuracy,0.853904282115869,2,train,Generative
31,MCC,0.5183822879152591,2,train,Generative
31,Precision,0.7857142857142857,2,train,Generative
31,Recall,0.4476744186046512,2,train,Generative
31,Accuracy,0.853904282115869,2,train,Generative
32,MCC,0.5183822879152591,2,train,Generative
32,Precision,0.7857142857142857,2,train,Generative
32,Recall,0.4476744186046512,2,train,Generative
32,Accuracy,0.853904282115869,2,train,Generative
33,MCC,0.5183822879152591,2,train,Generative
33,Precision,0.7857142857142857,2,train,Generative
33,Recall,0.4476744186046512,2,train,Generative
33,Accuracy,0.853904282115869,2,train,Generative
34,MCC,0.5183822879152591,2,train,Generative
34,Precision,0.7857142857142857,2,train,Generative
34,Recall,0.4476744186046512,2,train,Generative
34,Accuracy,0.853904282115869,2,train,Generative
35,MCC,0.5183822879152591,2,train,Generative
35,Precision,0.7857142857142857,2,train,Generative
35,Recall,0.4476744186046512,2,train,Generative
35,Accuracy,0.853904282115869,2,train,Generative
36,MCC,0.5183822879152591,2,train,Generative
36,Precision,0.7857142857142857,2,train,Generative
36,Recall,0.4476744186046512,2,train,Generative
36,Accuracy,0.853904282115869,2,train,Generative
37,MCC,0.5183822879152591,2,train,Generative
37,Precision,0.7857142857142857,2,train,Generative
37,Recall,0.4476744186046512,2,train,Generative
37,Accuracy,0.853904282115869,2,train,Generative
38,MCC,0.5183822879152591,2,train,Generative
