Active Learning Iteration,Metric,Value,Run,Set,Model,Label
0,Accuracy,0.7997481108312342,2,train,Generative,AL
1,MCC,-0.04296326353271999,2,train,Generative,AL
1,Precision,0.17,2,train,Generative,AL
1,Recall,0.09883720930232558,2,train,Generative,AL
1,Accuracy,0.7002518891687658,2,train,Generative,AL
2,MCC,0.3525582196075267,2,train,Generative,AL
2,Precision,0.6911764705882353,2,train,Generative,AL
2,Recall,0.27325581395348836,2,train,Generative,AL
2,Accuracy,0.8161209068010076,2,train,Generative,AL
3,MCC,0.5994533352777068,2,train,Generative,AL
3,Precision,0.7346938775510204,2,train,Generative,AL
3,Recall,0.627906976744186,2,train,Generative,AL
3,Accuracy,0.8702770780856424,2,train,Generative,AL
4,MCC,0.5994533352777068,2,train,Generative,AL
4,Precision,0.7346938775510204,2,train,Generative,AL
4,Recall,0.627906976744186,2,train,Generative,AL
4,Accuracy,0.8702770780856424,2,train,Generative,AL
5,MCC,0.6129381696841567,2,train,Generative,AL
5,Precision,0.7952755905511811,2,train,Generative,AL
5,Recall,0.5872093023255814,2,train,Generative,AL
5,Accuracy,0.8778337531486146,2,train,Generative,AL
6,MCC,0.6129381696841567,2,train,Generative,AL
6,Precision,0.7952755905511811,2,train,Generative,AL
6,Recall,0.5872093023255814,2,train,Generative,AL
6,Accuracy,0.8778337531486146,2,train,Generative,AL
7,MCC,0.6129381696841567,2,train,Generative,AL
7,Precision,0.7952755905511811,2,train,Generative,AL
7,Recall,0.5872093023255814,2,train,Generative,AL
7,Accuracy,0.8778337531486146,2,train,Generative,AL
8,MCC,0.6129381696841567,2,train,Generative,AL
8,Precision,0.7952755905511811,2,train,Generative,AL
8,Recall,0.5872093023255814,2,train,Generative,AL
8,Accuracy,0.8778337531486146,2,train,Generative,AL
9,MCC,0.6129381696841567,2,train,Generative,AL
9,Precision,0.7952755905511811,2,train,Generative,AL
9,Recall,0.5872093023255814,2,train,Generative,AL
9,Accuracy,0.8778337531486146,2,train,Generative,AL
10,MCC,0.6129381696841567,2,train,Generative,AL
10,Precision,0.7952755905511811,2,train,Generative,AL
10,Recall,0.5872093023255814,2,train,Generative,AL
10,Accuracy,0.8778337531486146,2,train,Generative,AL
11,MCC,0.6129381696841567,2,train,Generative,AL
11,Precision,0.7952755905511811,2,train,Generative,AL
11,Recall,0.5872093023255814,2,train,Generative,AL
11,Accuracy,0.8778337531486146,2,train,Generative,AL
12,MCC,0.6129381696841567,2,train,Generative,AL
12,Precision,0.7952755905511811,2,train,Generative,AL
12,Recall,0.5872093023255814,2,train,Generative,AL
12,Accuracy,0.8778337531486146,2,train,Generative,AL
13,MCC,0.6129381696841567,2,train,Generative,AL
13,Precision,0.7952755905511811,2,train,Generative,AL
13,Recall,0.5872093023255814,2,train,Generative,AL
13,Accuracy,0.8778337531486146,2,train,Generative,AL
14,MCC,0.6129381696841567,2,train,Generative,AL
14,Precision,0.7952755905511811,2,train,Generative,AL
14,Recall,0.5872093023255814,2,train,Generative,AL
14,Accuracy,0.8778337531486146,2,train,Generative,AL
15,MCC,0.6129381696841567,2,train,Generative,AL
15,Precision,0.7952755905511811,2,train,Generative,AL
15,Recall,0.5872093023255814,2,train,Generative,AL
15,Accuracy,0.8778337531486146,2,train,Generative,AL
16,MCC,0.6129381696841567,2,train,Generative,AL
16,Precision,0.7952755905511811,2,train,Generative,AL
16,Recall,0.5872093023255814,2,train,Generative,AL
16,Accuracy,0.8778337531486146,2,train,Generative,AL
17,MCC,0.6129381696841567,2,train,Generative,AL
17,Precision,0.7952755905511811,2,train,Generative,AL
17,Recall,0.5872093023255814,2,train,Generative,AL
17,Accuracy,0.8778337531486146,2,train,Generative,AL
18,MCC,0.6129381696841567,2,train,Generative,AL
18,Precision,0.7952755905511811,2,train,Generative,AL
18,Recall,0.5872093023255814,2,train,Generative,AL
18,Accuracy,0.8778337531486146,2,train,Generative,AL
19,MCC,0.6129381696841567,2,train,Generative,AL
19,Precision,0.7952755905511811,2,train,Generative,AL
19,Recall,0.5872093023255814,2,train,Generative,AL
19,Accuracy,0.8778337531486146,2,train,Generative,AL
20,MCC,0.6129381696841567,2,train,Generative,AL
20,Precision,0.7952755905511811,2,train,Generative,AL
20,Recall,0.5872093023255814,2,train,Generative,AL
20,Accuracy,0.8778337531486146,2,train,Generative,AL
21,MCC,0.6129381696841567,2,train,Generative,AL
21,Precision,0.7952755905511811,2,train,Generative,AL
21,Recall,0.5872093023255814,2,train,Generative,AL
21,Accuracy,0.8778337531486146,2,train,Generative,AL
22,MCC,0.6129381696841567,2,train,Generative,AL
22,Precision,0.7952755905511811,2,train,Generative,AL
22,Recall,0.5872093023255814,2,train,Generative,AL
22,Accuracy,0.8778337531486146,2,train,Generative,AL
23,MCC,0.6129381696841567,2,train,Generative,AL
23,Precision,0.7952755905511811,2,train,Generative,AL
23,Recall,0.5872093023255814,2,train,Generative,AL
23,Accuracy,0.8778337531486146,2,train,Generative,AL
24,MCC,0.6129381696841567,2,train,Generative,AL
24,Precision,0.7952755905511811,2,train,Generative,AL
24,Recall,0.5872093023255814,2,train,Generative,AL
24,Accuracy,0.8778337531486146,2,train,Generative,AL
25,MCC,0.6129381696841567,2,train,Generative,AL
25,Precision,0.7952755905511811,2,train,Generative,AL
25,Recall,0.5872093023255814,2,train,Generative,AL
25,Accuracy,0.8778337531486146,2,train,Generative,AL
26,MCC,0.6129381696841567,2,train,Generative,AL
26,Precision,0.7952755905511811,2,train,Generative,AL
26,Recall,0.5872093023255814,2,train,Generative,AL
26,Accuracy,0.8778337531486146,2,train,Generative,AL
27,MCC,0.6129381696841567,2,train,Generative,AL
27,Precision,0.7952755905511811,2,train,Generative,AL
27,Recall,0.5872093023255814,2,train,Generative,AL
27,Accuracy,0.8778337531486146,2,train,Generative,AL
28,MCC,0.6129381696841567,2,train,Generative,AL
28,Precision,0.7952755905511811,2,train,Generative,AL
28,Recall,0.5872093023255814,2,train,Generative,AL
28,Accuracy,0.8778337531486146,2,train,Generative,AL
