Number of labeled points,Metric,Accuracy,Run,Approach,Model,Dash
16,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
17,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
18,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
19,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
20,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
21,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
22,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
23,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
24,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
25,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
26,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
27,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
28,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
29,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
30,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
0,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
1,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
2,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
3,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
4,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
5,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
6,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
7,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
8,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
9,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
10,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
11,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
12,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
13,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
14,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
15,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
16,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
17,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
18,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
19,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
20,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
21,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
22,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
23,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
24,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
25,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
26,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
27,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
28,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
29,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
30,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
