Active Learning Iteration,Metric,Accuracy,Run,Strategy,Model
8,Accuracy,0.9739,4,Margin,Discriminative
9,Accuracy,0.9778,4,Margin,Discriminative
10,Accuracy,0.9773,4,Margin,Discriminative
11,Accuracy,0.9766,4,Margin,Discriminative
12,Accuracy,0.9779,4,Margin,Discriminative
13,Accuracy,0.9775,4,Margin,Discriminative
14,Accuracy,0.9776,4,Margin,Discriminative
15,Accuracy,0.978,4,Margin,Discriminative
16,Accuracy,0.9773,4,Margin,Discriminative
17,Accuracy,0.9773,4,Margin,Discriminative
18,Accuracy,0.9771,4,Margin,Discriminative
19,Accuracy,0.9771,4,Margin,Discriminative
20,Accuracy,0.9773,4,Margin,Discriminative
21,Accuracy,0.9777,4,Margin,Discriminative
22,Accuracy,0.9777,4,Margin,Discriminative
23,Accuracy,0.977,4,Margin,Discriminative
24,Accuracy,0.9776,4,Margin,Discriminative
25,Accuracy,0.9774,4,Margin,Discriminative
26,Accuracy,0.9776,4,Margin,Discriminative
27,Accuracy,0.9776,4,Margin,Discriminative
28,Accuracy,0.9777,4,Margin,Discriminative
29,Accuracy,0.9778,4,Margin,Discriminative
30,Accuracy,0.9778,4,Margin,Discriminative
0,Accuracy,0.9012,5,Margin,Discriminative
1,Accuracy,0.9777,5,Margin,Discriminative
2,Accuracy,0.9608,5,Margin,Discriminative
3,Accuracy,0.9649,5,Margin,Discriminative
4,Accuracy,0.969,5,Margin,Discriminative
5,Accuracy,0.9608,5,Margin,Discriminative
6,Accuracy,0.9647,5,Margin,Discriminative
7,Accuracy,0.9583,5,Margin,Discriminative
8,Accuracy,0.9612,5,Margin,Discriminative
9,Accuracy,0.9643,5,Margin,Discriminative
10,Accuracy,0.9657,5,Margin,Discriminative
11,Accuracy,0.9614,5,Margin,Discriminative
12,Accuracy,0.964,5,Margin,Discriminative
13,Accuracy,0.9657,5,Margin,Discriminative
14,Accuracy,0.9671,5,Margin,Discriminative
15,Accuracy,0.9691,5,Margin,Discriminative
16,Accuracy,0.9698,5,Margin,Discriminative
17,Accuracy,0.971,5,Margin,Discriminative
18,Accuracy,0.9766,5,Margin,Discriminative
19,Accuracy,0.9738,5,Margin,Discriminative
20,Accuracy,0.9764,5,Margin,Discriminative
21,Accuracy,0.9771,5,Margin,Discriminative
22,Accuracy,0.9776,5,Margin,Discriminative
23,Accuracy,0.9777,5,Margin,Discriminative
24,Accuracy,0.9776,5,Margin,Discriminative
25,Accuracy,0.977,5,Margin,Discriminative
26,Accuracy,0.9777,5,Margin,Discriminative
27,Accuracy,0.9774,5,Margin,Discriminative
28,Accuracy,0.9776,5,Margin,Discriminative
29,Accuracy,0.9777,5,Margin,Discriminative
30,Accuracy,0.9775,5,Margin,Discriminative
0,Accuracy,0.8869,6,Margin,Discriminative
1,Accuracy,0.9767,6,Margin,Discriminative
2,Accuracy,0.9607,6,Margin,Discriminative
3,Accuracy,0.9655,6,Margin,Discriminative
4,Accuracy,0.9687,6,Margin,Discriminative
5,Accuracy,0.9612,6,Margin,Discriminative
6,Accuracy,0.9647,6,Margin,Discriminative
7,Accuracy,0.9674,6,Margin,Discriminative
8,Accuracy,0.9697,6,Margin,Discriminative
9,Accuracy,0.971,6,Margin,Discriminative
10,Accuracy,0.9677,6,Margin,Discriminative
11,Accuracy,0.9693,6,Margin,Discriminative
12,Accuracy,0.9657,6,Margin,Discriminative
13,Accuracy,0.9669,6,Margin,Discriminative
14,Accuracy,0.9682,6,Margin,Discriminative
15,Accuracy,0.969,6,Margin,Discriminative
16,Accuracy,0.9698,6,Margin,Discriminative
17,Accuracy,0.97,6,Margin,Discriminative
18,Accuracy,0.9714,6,Margin,Discriminative
19,Accuracy,0.9718,6,Margin,Discriminative
20,Accuracy,0.9756,6,Margin,Discriminative
21,Accuracy,0.9773,6,Margin,Discriminative
22,Accuracy,0.9762,6,Margin,Discriminative
23,Accuracy,0.9748,6,Margin,Discriminative
24,Accuracy,0.9741,6,Margin,Discriminative
25,Accuracy,0.9751,6,Margin,Discriminative
26,Accuracy,0.9765,6,Margin,Discriminative
27,Accuracy,0.977,6,Margin,Discriminative
28,Accuracy,0.9774,6,Margin,Discriminative
29,Accuracy,0.9777,6,Margin,Discriminative
30,Accuracy,0.9778,6,Margin,Discriminative
0,Accuracy,0.9178,7,Margin,Discriminative
1,Accuracy,0.976,7,Margin,Discriminative
2,Accuracy,0.9647,7,Margin,Discriminative
3,Accuracy,0.9684,7,Margin,Discriminative
4,Accuracy,0.9699,7,Margin,Discriminative
5,Accuracy,0.9642,7,Margin,Discriminative
6,Accuracy,0.9659,7,Margin,Discriminative
7,Accuracy,0.9607,7,Margin,Discriminative
8,Accuracy,0.9637,7,Margin,Discriminative
9,Accuracy,0.9658,7,Margin,Discriminative
10,Accuracy,0.9677,7,Margin,Discriminative
11,Accuracy,0.9691,7,Margin,Discriminative
12,Accuracy,0.9702,7,Margin,Discriminative
13,Accuracy,0.9724,7,Margin,Discriminative
14,Accuracy,0.9686,7,Margin,Discriminative
15,Accuracy,0.9698,7,Margin,Discriminative
16,Accuracy,0.9701,7,Margin,Discriminative
17,Accuracy,0.9683,7,Margin,Discriminative
18,Accuracy,0.9692,7,Margin,Discriminative
19,Accuracy,0.9697,7,Margin,Discriminative
20,Accuracy,0.9674,7,Margin,Discriminative
21,Accuracy,0.9683,7,Margin,Discriminative
22,Accuracy,0.9691,7,Margin,Discriminative
23,Accuracy,0.9697,7,Margin,Discriminative
24,Accuracy,0.9701,7,Margin,Discriminative
25,Accuracy,0.9684,7,Margin,Discriminative
26,Accuracy,0.9692,7,Margin,Discriminative
27,Accuracy,0.9697,7,Margin,Discriminative
28,Accuracy,0.9698,7,Margin,Discriminative
29,Accuracy,0.9701,7,Margin,Discriminative
30,Accuracy,0.9713,7,Margin,Discriminative
0,Accuracy,0.8894,8,Margin,Discriminative
1,Accuracy,0.9771,8,Margin,Discriminative
2,Accuracy,0.9607,8,Margin,Discriminative
3,Accuracy,0.9657,8,Margin,Discriminative
4,Accuracy,0.9686,8,Margin,Discriminative
5,Accuracy,0.971,8,Margin,Discriminative
6,Accuracy,0.9777,8,Margin,Discriminative
7,Accuracy,0.9775,8,Margin,Discriminative
8,Accuracy,0.977,8,Margin,Discriminative
9,Accuracy,0.9778,8,Margin,Discriminative
10,Accuracy,0.9775,8,Margin,Discriminative
11,Accuracy,0.9771,8,Margin,Discriminative
12,Accuracy,0.9767,8,Margin,Discriminative
13,Accuracy,0.9757,8,Margin,Discriminative
14,Accuracy,0.9773,8,Margin,Discriminative
15,Accuracy,0.9773,8,Margin,Discriminative
16,Accuracy,0.9776,8,Margin,Discriminative
17,Accuracy,0.9773,8,Margin,Discriminative
18,Accuracy,0.9774,8,Margin,Discriminative
19,Accuracy,0.9772,8,Margin,Discriminative
20,Accuracy,0.9772,8,Margin,Discriminative
21,Accuracy,0.9775,8,Margin,Discriminative
22,Accuracy,0.9772,8,Margin,Discriminative
23,Accuracy,0.9774,8,Margin,Discriminative
24,Accuracy,0.9776,8,Margin,Discriminative
25,Accuracy,0.9777,8,Margin,Discriminative
26,Accuracy,0.9778,8,Margin,Discriminative
27,Accuracy,0.9772,8,Margin,Discriminative
28,Accuracy,0.9776,8,Margin,Discriminative
29,Accuracy,0.9773,8,Margin,Discriminative
30,Accuracy,0.9776,8,Margin,Discriminative
0,Accuracy,0.8737,9,Margin,Discriminative
1,Accuracy,0.9694,9,Margin,Discriminative
2,Accuracy,0.9762,9,Margin,Discriminative
3,Accuracy,0.9726,9,Margin,Discriminative
4,Accuracy,0.9721,9,Margin,Discriminative
5,Accuracy,0.9719,9,Margin,Discriminative
6,Accuracy,0.9767,9,Margin,Discriminative
7,Accuracy,0.9755,9,Margin,Discriminative
8,Accuracy,0.9752,9,Margin,Discriminative
9,Accuracy,0.9735,9,Margin,Discriminative
10,Accuracy,0.9767,9,Margin,Discriminative
11,Accuracy,0.9761,9,Margin,Discriminative
12,Accuracy,0.9754,9,Margin,Discriminative
13,Accuracy,0.9756,9,Margin,Discriminative
14,Accuracy,0.9767,9,Margin,Discriminative
15,Accuracy,0.9775,9,Margin,Discriminative
16,Accuracy,0.9772,9,Margin,Discriminative
17,Accuracy,0.9771,9,Margin,Discriminative
18,Accuracy,0.9767,9,Margin,Discriminative
19,Accuracy,0.9774,9,Margin,Discriminative
20,Accuracy,0.9774,9,Margin,Discriminative
21,Accuracy,0.9775,9,Margin,Discriminative
22,Accuracy,0.9778,9,Margin,Discriminative
23,Accuracy,0.9774,9,Margin,Discriminative
24,Accuracy,0.9776,9,Margin,Discriminative
25,Accuracy,0.9776,9,Margin,Discriminative
26,Accuracy,0.9777,9,Margin,Discriminative
27,Accuracy,0.978,9,Margin,Discriminative
28,Accuracy,0.978,9,Margin,Discriminative
29,Accuracy,0.9777,9,Margin,Discriminative
30,Accuracy,0.9777,9,Margin,Discriminative
