Active Learning Iteration,Metric,Accuracy,Run,Strategy,Model,Dash
3,Accuracy,0.9728,4,Relative Entropy,Discriminative,y
4,Accuracy,0.9721,4,Relative Entropy,Discriminative,y
5,Accuracy,0.9719,4,Relative Entropy,Discriminative,y
6,Accuracy,0.9767,4,Relative Entropy,Discriminative,y
7,Accuracy,0.9755,4,Relative Entropy,Discriminative,y
8,Accuracy,0.9754,4,Relative Entropy,Discriminative,y
9,Accuracy,0.975,4,Relative Entropy,Discriminative,y
10,Accuracy,0.9748,4,Relative Entropy,Discriminative,y
11,Accuracy,0.977,4,Relative Entropy,Discriminative,y
12,Accuracy,0.9779,4,Relative Entropy,Discriminative,y
13,Accuracy,0.9778,4,Relative Entropy,Discriminative,y
14,Accuracy,0.9772,4,Relative Entropy,Discriminative,y
15,Accuracy,0.9772,4,Relative Entropy,Discriminative,y
16,Accuracy,0.9774,4,Relative Entropy,Discriminative,y
17,Accuracy,0.9765,4,Relative Entropy,Discriminative,y
18,Accuracy,0.9775,4,Relative Entropy,Discriminative,y
19,Accuracy,0.9774,4,Relative Entropy,Discriminative,y
20,Accuracy,0.9773,4,Relative Entropy,Discriminative,y
21,Accuracy,0.9774,4,Relative Entropy,Discriminative,y
22,Accuracy,0.9767,4,Relative Entropy,Discriminative,y
23,Accuracy,0.9765,4,Relative Entropy,Discriminative,y
24,Accuracy,0.9767,4,Relative Entropy,Discriminative,y
25,Accuracy,0.9765,4,Relative Entropy,Discriminative,y
26,Accuracy,0.9761,4,Relative Entropy,Discriminative,y
27,Accuracy,0.9761,4,Relative Entropy,Discriminative,y
28,Accuracy,0.976,4,Relative Entropy,Discriminative,y
29,Accuracy,0.977,4,Relative Entropy,Discriminative,y
