Run,Number of labeled points,Model,Metric,Value,Set,Approach,Dash
4,8,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,8,Discriminative,Accuracy,0.9553333333333334,test,Active WeaSuL,
4,9,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,9,Discriminative,Accuracy,0.956,test,Active WeaSuL,
4,10,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,10,Discriminative,Accuracy,0.956,test,Active WeaSuL,
4,11,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,11,Discriminative,Accuracy,0.9576666666666667,test,Active WeaSuL,
4,12,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,12,Discriminative,Accuracy,0.956,test,Active WeaSuL,
4,13,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,13,Discriminative,Accuracy,0.9573333333333334,test,Active WeaSuL,
4,14,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,14,Discriminative,Accuracy,0.9566666666666667,test,Active WeaSuL,
4,15,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,15,Discriminative,Accuracy,0.9573333333333334,test,Active WeaSuL,
4,16,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,16,Discriminative,Accuracy,0.958,test,Active WeaSuL,
4,17,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,17,Discriminative,Accuracy,0.9563333333333334,test,Active WeaSuL,
4,18,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,18,Discriminative,Accuracy,0.96,test,Active WeaSuL,
4,19,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,19,Discriminative,Accuracy,0.958,test,Active WeaSuL,
4,20,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,20,Discriminative,Accuracy,0.9583333333333334,test,Active WeaSuL,
4,21,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,21,Discriminative,Accuracy,0.9566666666666667,test,Active WeaSuL,
